ret_mean,ret_std,n
-5.867120828850769e-06,1.8553465126459883e-05,10
-1.100995506797542e-05,3.481653495085036e-05,10
-1.1000287669049592e-05,3.481994498317849e-05,10
-1.1000287669049592e-05,3.481994498317849e-05,10
-1.1000287669049592e-05,3.481994498317849e-05,10
-1.5766314885667933e-05,3.637406752973102e-05,10
-1.5766314885667933e-05,3.637406752973102e-05,10
-1.6124025660468887e-05,3.621904902964048e-05,10
-2.114166231491632e-05,3.719944228035316e-05,10
-2.932111051349162e-05,4.084788512678215e-05,10
-2.932111051349162e-05,4.084788512678215e-05,10
-1.841751630858868e-05,3.000258104653567e-05,10
-1.8427183707514504e-05,2.999596742358637e-05,10
-1.843685288716035e-05,2.998938229602112e-05,10
-1.842718370657081e-05,2.999600205591908e-05,10
-1.3661156489952476e-05,2.8588417892218552e-05,10
-1.3661156489952476e-05,2.8588417892218552e-05,10
-1.3303445715151518e-05,2.875053299187127e-05,10
-8.285809060704086e-06,2.583051796981435e-05,10
-1.160300417746285e-07,3.374218402661092e-07,10
-4.389807862181793e-06,1.3478265905367636e-05,10
-4.293116592968271e-06,1.350821389208098e-05,10
-4.293116592968271e-06,1.350821389208098e-05,10
-4.273777818530888e-06,1.351502586085928e-05,10
-4.283446999120421e-06,1.3511585783035148e-05,10
-4.283446999120421e-06,1.3511585783035148e-05,10
-4.283446999120421e-06,1.3511585783035148e-05,10
-4.283446999120421e-06,1.3511585783035148e-05,10
-1.363229657602716e-06,1.7194083984098327e-05,10
-1.353560477956872e-06,1.7194902534327966e-05,10
2.920217342450293e-06,9.234650562289755e-06,10
2.929886936309245e-06,9.231190531380048e-06,10
2.929886936309245e-06,9.231190531380048e-06,10
2.920217341517706e-06,9.234538061670502e-06,10
2.91054803004398e-06,9.237985490688173e-06,10
4.2159052062396e-06,9.692112774782935e-06,10
4.2159052062396e-06,9.692112774782935e-06,10
4.206236020032339e-06,9.696833115255225e-06,10
1.2956878656544823e-06,4.131662477394662e-06,10
1.2956878656544823e-06,4.131662477394662e-06,10
7.05852284009767e-06,1.823678526532109e-05,10
7.0681914691062e-06,1.8232652394237744e-05,10
2.193854145121632e-05,4.806384027217055e-05,10
1.834234657341893e-05,5.113493659716124e-05,10
1.9077081249530003e-05,5.089276829666796e-05,10
2.0642962098960104e-05,5.092772795959762e-05,10
2.098131376757628e-05,5.0786386003165525e-05,10
2.657860017531988e-05,5.128719322796905e-05,10
2.656893098818003e-05,5.129274942020745e-05,10
3.536555308527589e-05,5.371574237279199e-05,10
3.4000642290621384e-05,5.325865867142963e-05,10
5.1581896745300784e-05,6.784453363718316e-05,10
3.933039386165849e-05,5.881907642063609e-05,10
4.030781022278385e-05,5.749521260687769e-05,10
4.2201591956614326e-05,5.659015550570625e-05,10
3.671157541431658e-05,6.0567461521214005e-05,10
3.899207084416823e-05,5.9594673690325794e-05,10
3.5182517264931154e-05,5.9613059043456695e-05,10
3.5172854047393896e-05,5.961940326122795e-05,10
2.6376231950298035e-05,5.7413165035503934e-05,10
1.6141723811002874e-05,6.279627097927077e-05,10
-5.2277382343923765e-06,3.037960394088064e-05,10
-7.8465853328602e-06,2.843716360395372e-05,10
-5.227806816188174e-06,2.775816145326301e-05,10
-7.846653914656e-06,2.5617710014283623e-05,10
3.962729040329905e-06,3.961760560056019e-05,10
1.3535452014101778e-06,3.884281251314944e-05,10
-4.2451844088908797e-07,3.8411867973372906e-05,10
-4.24518481978442e-07,3.841186797298319e-05,10
-4.24518481978442e-07,3.841186797298319e-05,10
6.40122577166835e-10,3.77165271340276e-05,10
3.7791790842844897e-06,3.5327468320682184e-05,10
3.769515301776938e-06,3.532863017411751e-05,10
-7.962317800047636e-06,5.217993142465612e-05,10
-2.242103410573515e-05,6.750893953639331e-05,10
-3.16213048589864e-05,5.5375846218184654e-05,10
-3.162130180265343e-05,5.5375848163288976e-05,10
-3.162130180265343e-05,5.5375848163288976e-05,10
-3.1611638544026824e-05,5.538196864898949e-05,10
-3.1611638544026824e-05,5.538196864898949e-05,10
-2.620021318907595e-05,5.5582326156362366e-05,10
-2.620021318907595e-05,5.5582326156362366e-05,10
-2.081607829896859e-05,6.075859336787581e-05,10
-9.084245197144016e-06,5.051812135698219e-05,10
1.006238190485176e-05,2.127504569405132e-05,10
1.0072048219789131e-05,2.126993841699439e-05,10
1.0062381903908067e-05,2.127499689571708e-05,10
1.8857843445752032e-05,3.20866474672301e-05,10
6.748234572584444e-06,5.480372565707671e-05,10
9.77833886395274e-07,5.850604207008093e-05,10
9.77833886395274e-07,5.850604207008093e-05,10
-7.96342014139917e-06,6.512945738631211e-05,10
-1.333789124899898e-05,6.159300932560773e-05,10
-4.395837689474824e-06,6.970181004024594e-05,10
-9.0934147063626e-06,6.740736150521242e-05,10
-9.083748484850496e-06,6.74088173051337e-05,10
-9.093414705430014e-06,6.740737690687126e-05,10
-1.787921002576187e-05,5.848838965694089e-05,10
-5.769601152594284e-06,4.593176261550326e-05,10
7.995335948862702e-10,4.215140950983592e-05,10
7.995335948862702e-10,4.215140950983592e-05,10
8.93238734080981e-06,2.8280742305105493e-05,10
8.93238734080981e-06,2.8280742305105493e-05,10
2.7977620220553944e-15,7.89243354078463e-08,10
9.086247339151756e-06,2.869936175425731e-05,10
1.8596944256166204e-05,3.921980497668986e-05,10
1.8596946053550667e-05,3.921980402480162e-05,10
9.096815332765296e-06,5.320981851804508e-05,10
8.101285166550732e-06,5.349131122609284e-05,10
7.415039093983111e-06,5.365057411232297e-05,10
7.405373590019248e-06,5.3652067095943765e-05,10
1.3465645881238775e-05,5.607835011216382e-05,10
8.333573298080488e-06,5.968025991569729e-05,10
1.0595279873015784e-05,5.976192562546869e-05,10
1.528363953862133e-06,5.270906231250961e-05,10
-1.0272985367110189e-05,4.1404216500941305e-05,10
-1.0263320943915133e-05,4.140686694519581e-05,10
-7.728564446418673e-07,2.881213195068992e-05,10
2.5037119341764223e-06,2.950657810988772e-05,10
3.199623202432278e-06,2.934274316552452e-05,10
3.2092887063961406e-06,2.934155262208291e-05,10
4.842512465319526e-06,3.309913923935299e-05,10
5.190681232203343e-06,3.245475721190793e-05,10
2.919308435755941e-06,3.188189324544152e-05,10
1.0941187200519398e-05,4.012035282171301e-05,10
8.158164895544217e-06,4.354110704380919e-05,10
9.93645640197105e-06,4.353403391209285e-05,10
9.93645640197105e-06,4.353403391209285e-05,10
7.655418189367325e-06,4.338186106726984e-05,10
7.64575299367909e-06,4.3383742952959016e-05,10
7.64575299367909e-06,4.3383742952959016e-05,10
-3.8076835884304224e-08,3.5931693188381857e-05,10
4.243275274096181e-06,3.193121439700281e-05,10
1.701510601292977e-06,3.328927306080522e-05,10
-6.3396981102026295e-06,1.8708448687407515e-05,10
-1.275689622781684e-06,1.0388455963154074e-05,10
-4.774306815857887e-06,9.063565148036434e-06,10
-2.1195001336826723e-05,5.10325756669973e-05,10
-2.1195001336826723e-05,5.10325756669973e-05,10
-9.90452393619945e-06,6.641426125207625e-05,10
-9.914189349558013e-06,6.641266668037845e-05,10
-2.4653946136810045e-05,7.91107273092222e-05,10
-2.415139443051606e-05,7.926508326746318e-05,10
-2.335932764482296e-05,7.929059421745032e-05,10
-2.8096163969382197e-05,7.916125628451951e-05,10
-2.810583143655343e-05,7.91574496426985e-05,10
-3.517323425259455e-05,8.120440273493179e-05,10
-1.875253973162572e-05,6.769085033424019e-05,10
-1.8762208049349915e-05,6.768788113538363e-05,10
-3.0043017131320404e-05,5.053243221816842e-05,10
-3.003335171796184e-05,5.053880537689455e-05,10
-1.529359493070981e-05,2.970704428373159e-05,10
-1.0517445974422837e-05,3.5678362516519725e-05,10
-1.7333468480351665e-05,4.293301977752196e-05,10
-1.2586967405681104e-05,4.184155862117854e-05,10
-1.2577299938509867e-05,4.184477619320921e-05,10
8.789386664831423e-06,5.235437016251676e-05,10
7.13624961977688e-06,5.292067384101003e-05,10
7.145917937501078e-06,5.291921441121885e-05,10
-1.3132571822893624e-06,6.040308255851159e-05,10
-8.796633499918993e-06,6.470473311659542e-05,10
-8.864317678958233e-06,6.469486226741814e-05,10
-1.693765530328406e-05,6.18166930597663e-05,10
-8.391273897856433e-06,5.697886506564462e-05,10
-8.371934906514777e-06,5.698206229710296e-05,10
-8.371934906514777e-06,5.698206229710296e-05,10
-2.095089300716557e-05,3.284826037284081e-05,10
-2.7052689990547663e-05,3.730148444468678e-05,10
-2.334898664499985e-05,4.1847709491201705e-05,10
-1.8603046020304603e-05,3.649097208317234e-05,10
-1.3382506733627952e-05,3.085105575627806e-05,10
-2.073206732956523e-05,3.583900942494988e-05,10
-5.442615605444345e-06,5.66236786843216e-05,10
-7.734411452731126e-06,5.685095069434368e-05,10
-1.663103418091394e-05,6.218355698554444e-05,10
-1.7714197633267316e-05,6.195559533711238e-05,10
-1.0015916854733131e-05,6.880532675615753e-05,10
-1.5973698720572748e-05,7.73513699136182e-05,10
-1.56055789755305e-05,7.763990374735411e-05,10
-2.2016036023697616e-06,8.477199214398657e-05,10
-1.3709497250824487e-05,9.504200387528651e-05,10
4.056561554899307e-06,9.900619055672695e-05,10
-8.796401633348605e-06,9.024870892745552e-05,10
-2.0353296155339872e-05,9.923751236446254e-05,10
-1.0808629750191922e-05,9.647738936250608e-05,10
4.386197684003168e-06,0.0001077772595683,10
-1.9945830414769276e-05,0.0001166663177181,10
6.302305779770645e-06,0.0001168998890922,10
3.874583269458664e-06,0.0001163565667334,10
4.125654560971359e-06,0.0001165823370602,10
1.389298099295777e-05,0.0001070837964135,10
-1.0342593085499452e-05,0.0001118716165265,10
-1.934711754340013e-05,0.0001152880909108,10
-8.129419782643143e-06,0.0001075869322908,10
-6.14640061037397e-06,0.0001080717597413,10
-2.2908396188348057e-05,9.488818170818998e-05,10
-6.2746488681098e-06,8.042939086529922e-05,10
-1.61596673277975e-05,6.748755664616503e-05,10
-2.4845524849648192e-05,6.840874502263045e-05,10
-3.480667876211152e-05,5.40293877985133e-05,10
